job_link,job_title,comp_name,location,expire_date,update_date,industry,staff_type,salary,exp,job_level
https://careerbuilder.vn/vi/tim-viec-lam/data-scientist-senior-expert-ha-noi-ta139.35BDDF99.html,Data Scientist Senior/Expert - Hà Nội - TA139,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Cơ hội ứng tuyển chỉ còn: 6 ngày,['27-10-2023'],"Chứng khoán, CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-du-lieu-trang-suc.35BE3CD4.html,Chuyên Viên Phân Tích Dữ Liệu (Trang sức),CÔNG TY CỔ PHẦN CHARM GROUP,Hồ Chí Minh,Hạn nộp: 30-11-2023,['27-10-2023'],"Tiếp thị / Marketing, Bán hàng / Kinh doanh, Dệt may / Da giày / Thời trang",Nhân viên chính thức,Trên12 Tr VND,2 - 3 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/data-science-expert.35BDEE70.html,Data Science Expert,Công Ty CP Vàng Bạc Đá Quý Phú Nhuận - PNJ,Hồ Chí Minh,Hạn nộp: 25-12-2023,['03-11-2023'],"Bán lẻ / Bán sỉ, CNTT - Phần mềm, Thống kê",Nhân viên chính thức,Cạnh tranh,5 - 8 Năm,Quản lý
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-chuyen-vien-chinh-phan-tich-du-lieu-kinh-doanh-bi-analytics.35BDDE97.html,Chuyên viên/Chuyên viên chính phân tích dữ liệu kinh doanh (BI analytics),Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Cơ hội ứng tuyển chỉ còn: 5 ngày,['26-10-2023'],"CNTT - Phần mềm, Ngân hàng, Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/data-scientist-senior-expert-ha-noi-ta139.35BEE3B6.html,Data Scientist Senior/Expert - Hà Nội - TA139,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Hạn nộp: 02-12-2023,['16-11-2023'],"Chứng khoán, CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/cvc-cvcc-phan-tich-nganh.35BE0911.html,CVC/CVCC Phân Tích Ngành,CÔNG TY CỔ PHẦN CHỨNG KHOÁN ASEAN,Hà Nội,Hạn nộp: 16-12-2023,['17-11-2023'],"Ngân hàng, Chứng khoán, Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên3 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-phan-tich-kinh-doanh-mang-thu-hoi-no-ha-noi-ta139.35BDB9D3.html,Chuyên Viên Cao Cấp Phân Tích Kinh Doanh - Mảng Thu Hồi Nợ - Hà Nội - TA139,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Hạn nộp: 05-12-2023,['06-11-2023'],"Bán hàng / Kinh doanh, Ngân hàng, Kế toán / Kiểm toán",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-chinh-phan-tich-kinh-doanh-thu-hoi-no-ha-noi-ta079.35BEEBB1.html,Chuyên viên Chính Phân tích kinh doanh (Thu hồi nợ) - Hà Nội - TA079,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Hạn nộp: 31-12-2023,['14-11-2023'],"Biên phiên dịch, Luật / Pháp lý, Bảo hiểm",Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-du-lieu.35BDE1EE.html,Chuyên viên Phân tích dữ liệu,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Hạn nộp: 26-11-2023,['28-10-2023'],"CNTT - Phần mềm, Kế toán / Kiểm toán, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên3 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-du-lieu-khoi-qtrr.35BED99A.html,Chuyên viên Phân tích dữ liệu (Khối QTRR),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Hạn nộp: 28-11-2023,['13-11-2023'],"CNTT - Phần mềm, Kế toán / Kiểm toán, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên3 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-du-lieu.35BDACE6.html,Chuyên viên Phân tích dữ liệu,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Hạn nộp: 26-11-2023,['28-10-2023'],"CNTT - Phần mềm, Kế toán / Kiểm toán, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên3 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/data-engineer.35BE487F.html,Data Engineer,DatvietVAC Group Holdings,Hồ Chí Minh,Hạn nộp: 30-11-2023,['27-10-2023'],nan,nan,nan,nan,nan
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cong-nghe-thong-tin.35BEEB6C.html,Chuyên Viên Công Nghệ Thông Tin,Công ty cổ phần Goldocean Việt Nam,Hà Nội,Hạn nộp: 07-12-2023,['14-11-2023'],"CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Nhân viên chính thức,9 Tr - 15 Tr VND,Trên1 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/costing-analysis-specialist.35BDFB2C.html,Costing Analysis Specialist,BETRIMEX - Công Ty Cổ Phần Xuất Nhập Khẩu Bến Tre,Hồ Chí Minh,Hạn nộp: 09-12-2023,['10-11-2023'],Tài chính / Đầu tư,Nhân viên chính thức,Cạnh tranh,3 - 10 Năm,Trưởng nhóm / Giám sát
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-it-phan-mem.35BE0D21.html,Chuyên viên IT (Phần mềm),CÔNG TY TNHH HTAUTO VIỆT NAM,Hà Nội,Hạn nộp: 17-12-2023,['18-11-2023'],CNTT - Phần mềm,Nhân viên chính thức,12 Tr - 15 Tr VND,1 - 3 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/senior-clerk-and-above-it-department.35BDE5C6.html,SENIOR CLERK AND ABOVE(IT DEPARTMENT),Công Ty TNHH JAC Recruitment Vietnam,Hà Nội,Hạn nộp: 27-11-2023,['29-10-2023'],"Ngân hàng, CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Nhân viên chính thức,20 Tr - 40 Tr VND,3 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/data-science.35BEE456.html,Data Science,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ẨM THỰC ICOOL,Hồ Chí Minh,Hạn nộp: 30-11-2023,['09-11-2023'],"CNTT - Phần mềm, Ngành khác",Nhân viên chính thức,10 Tr - 13 Tr VND,1 - 3 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/data-engineer-hanoi-ta083.35BDC00F.html,Data Engineer - Hanoi - TA083,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,Hà Nội,Hạn nộp: 07-12-2023,['08-11-2023'],"Chứng khoán, CNTT - Phần mềm, Kế toán / Kiểm toán",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/risk-model-validation.35BEDF0D.html,Risk Model Validation,TECHCOMBANK,Hà Nội,Hạn nộp: 30-11-2023,['14-11-2023'],"Kế toán / Kiểm toán, Ngân hàng, Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên10 Năm,Quản lý
https://careerbuilder.vn/vi/tim-viec-lam/data-scientist-trung-tam-cong-nghe-du-lieu-khoi-du-lieu.35BDB985.html,Data Scientist - Trung tâm Công nghệ Dữ Liệu - Khối Dữ Liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Hạn nộp: 04-12-2023,['05-11-2023'],"CNTT - Phần mềm, Kế toán / Kiểm toán, Ngân hàng",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/data-scientist-trung-tam-cong-nghe-du-lieu-khoi-du-lieu.35BDFF15.html,Data Scientist - Trung tâm Công nghệ Dữ Liệu - Khối Dữ Liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Hạn nộp: 10-12-2023,['11-11-2023'],"CNTT - Phần mềm, Kế toán / Kiểm toán, Ngân hàng",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-gia-quan-tri-du-lieu-msb-df-dxa-1m387.35BEF5DB.html,Chuyên gia Quản trị Dữ liệu - MSB DF - DXA - 1M387,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),Hà Nội,Hạn nộp: 27-12-2023,['13-11-2023'],"CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Nhân viên chính thức,Lên đến45 Tr VND,4 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/senior-java-developer.35BEE3D4.html,Senior Java Developer,Công ty Cổ Phần Funtap,Hà Nội,Hạn nộp: 30-11-2023,['16-11-2023'],"CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Nhân viên chính thức,35 Tr - 40 Tr VND,Trên3 Năm,Trưởng nhóm / Giám sát
https://careerbuilder.vn/vi/tim-viec-lam/lap-trinh-vien-net.35BEE306.html,Lập trình viên .NET,Tổng công ty Cổ phần Bảo hiểm Bưu điện,Hà Nội,Hạn nộp: 30-11-2023,['16-11-2023'],"Bảo hiểm, Tài chính / Đầu tư, CNTT - Phần mềm",Nhân viên chính thức,Cạnh tranh,2 - 3 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/senior-backend-developer-java.35BEE0DE.html,Senior Backend Developer (Java),Công ty Cổ phần Thời Trang YODY,"Hà Nội, Hải Dương",Hạn nộp: 30-11-2023,['15-11-2023'],"CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Nhân viên chính thức,20 Tr - 40 Tr VND,2 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/it-web-developer.35BEF66B.html,IT Web Developer,Công Ty TNHH VIỆT NAM NOK,Đồng Nai,Cơ hội ứng tuyển chỉ còn: 5 ngày,['17-11-2023'],CNTT - Phần mềm,Nhân viên chính thức,12 Tr - 20 Tr VND,Trên1 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/senior-clerk-it-admin-it-department.35BE1468.html,Senior Clerk - IT Admin - IT Department,"NGÂN HÀNG MIZUHO BANK, LTD.- CHI NHÁNH THÀNH PHỐ HÀ NỘI",Hà Nội,Hạn nộp: 30-11-2023,['13-11-2023'],"Ngân hàng, CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/backend-developer-team-leader.35BEEE79.html,Backend Developer Team Leader,Công Ty Cổ Phần Phương Tiện Điện Thông Minh Selex,Hà Nội,Hạn nộp: 08-12-2023,['15-11-2023'],"Cơ khí / Ô tô / Tự động hóa, CNTT - Phần mềm, CNTT - Phần cứng / Mạng",Nhân viên chính thức,"Lên đến2,500 USD",Trên5 Năm,Trưởng nhóm / Giám sát
https://careerbuilder.vn/vi/tim-viec-lam/regional-senior-internal-audit.35BDE1CC.html,Regional Senior Internal Audit,Wipro Consumer Care Vietnam,Bình Dương,Cơ hội ứng tuyển chỉ còn: 6 ngày,['27-10-2023'],"Kế toán / Kiểm toán, Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,Trên5 Năm,Trưởng nhóm / Giám sát
https://careerbuilder.vn/vi/tim-viec-lam/brand-building-finance-supervisor-frozen-chiilled.35BDBC54.html,Brand Building Finance Supervisor (Frozen & Chiilled),Masan Consumer,Hồ Chí Minh,Hạn nộp: 05-12-2023,['06-11-2023'],"Bán lẻ / Bán sỉ, Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Trưởng nhóm / Giám sát
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-van-hanh-he-thong-du-an-omni-channel.35BDF403.html,Chuyên viên Quản trị Vận hành Hệ thống - Dự án Omni Channel,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Hạn nộp: 05-12-2023,['06-11-2023'],"CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên2 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-van-hanh-he-thong-du-an-omni-channel.35BDB9BC.html,Chuyên viên Quản trị Vận hành Hệ thống - Dự án Omni Channel,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Hạn nộp: 05-12-2023,['06-11-2023'],"CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên2 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/tester-phong-phan-tich-va-dam-ban-chat-luong-khoi-du-lieu.35BDBD77.html,Tester -  Phòng Phân tích và đảm bản chất lượng - Khối Dữ Liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Hạn nộp: 06-12-2023,['07-11-2023'],"CNTT - Phần mềm, Ngân hàng, Quản lý chất lượng (QA/QC)",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/business-analyst-khoi-du-lieu.35BDBD74.html,Business Analyst - Khối Dữ Liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Hạn nộp: 06-12-2023,['07-11-2023'],"CNTT - Phần mềm, Ngân hàng, Quản lý chất lượng (QA/QC)",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/business-analyst-khoi-du-lieu.35BDFF14.html,Business Analyst - Khối Dữ Liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Hạn nộp: 10-12-2023,['11-11-2023'],"CNTT - Phần mềm, Ngân hàng, Quản lý chất lượng (QA/QC)",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/tester-phong-phan-tich-va-dam-ban-chat-luong-khoi-du-lieu.35BDFF12.html,Tester -  Phòng Phân tích và đảm bản chất lượng - Khối Dữ Liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Hạn nộp: 10-12-2023,['11-11-2023'],"CNTT - Phần mềm, Ngân hàng, Quản lý chất lượng (QA/QC)",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-van-hanh-he-thong-du-an-omni-channel.35BEED79.html,Chuyên viên Quản trị Vận hành Hệ thống - Dự án Omni Channel,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Hạn nộp: 07-12-2023,['15-11-2023'],"CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên2 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/ha-noi-backend-java-developer.35BDCD28.html,Hà Nội - Backend Java Developer,CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG TMCP SÀI GÒN - HÀ NỘI  (SHBFinance),Hà Nội,Hạn nộp: 14-12-2023,['15-11-2023'],"CNTT - Phần mềm, Ngân hàng, Tài chính / Đầu tư",Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/lap-trinh-vien-full-stack-ha-noi.35BEBA7D.html,Lập trình viên Full Stack - Hà Nội,Công ty cổ phần SANAN,Hà Nội,Hạn nộp: 27-11-2023,['17-11-2023'],CNTT - Phần mềm,Nhân viên chính thức,15 Tr - 20 Tr VND,Trên2 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-ly-ban-hang-xe-du-lich-thaco-auto-mien-bac.35BEE1B7.html,Chuyên VIên Quản Lý Bán Hàng Xe Du Lịch | Thaco Auto Miền Bắc,Công ty TNHH THACO AUTO (Văn phòng Miền Bắc),Hà Nội,Hạn nộp: 30-11-2023,['16-11-2023'],"Tiếp thị / Marketing, Tiếp thị trực tuyến, Quảng cáo / Đối ngoại / Truyền Thông",Nhân viên chính thức,12 Tr - 18 Tr VND,1 - 6 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/product-owner.35BDE148.html,Product Owner,Elofun Entertainment,Hồ Chí Minh,Hạn nộp: 08-12-2023,['09-11-2023'],"Tiếp thị / Marketing, CNTT - Phần mềm, Giải trí",Nhân viên chính thức,Trên10 Tr VND,nan,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/logistics-officer-da-nang-city.35BEF5A7.html,Logistics Officer ( Da Nang city ),Carlsberg Group,Đà Nẵng,Hạn nộp: 13-12-2023,['13-11-2023'],Vận chuyển / Giao nhận /Kho vận,Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phat-trien-tich-hop-du-an-nang-cap-corebanking.35BDB9B7.html,Chuyên viên phát triển Tích hợp - Dự án nâng cấp CoreBanking,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Hạn nộp: 05-12-2023,['06-11-2023'],"CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên1 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-va-quan-tri-dich-vu-tai-chinh-k-cntt.35BDFE5D.html,Chuyên viên phân tích và quản trị dịch vụ tài chính - K.CNTT,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Hạn nộp: 10-12-2023,['11-11-2023'],"CNTT - Phần cứng / Mạng, CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-tich-hop-du-lieu-intergration-engineering.35BDFE61.html,Chuyên viên tích hợp dữ liệu (Intergration Engineering),Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Hạn nộp: 10-12-2023,['11-11-2023'],"CNTT - Phần cứng / Mạng, CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,Cạnh tranh,2 - 4 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phat-trien-tich-hop-du-an-nang-cap-corebanking.35BEE912.html,Chuyên viên phát triển Tích hợp - Dự án nâng cấp CoreBanking,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Hà Nội,Hạn nộp: 05-12-2023,['13-11-2023'],"CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,Cạnh tranh,Trên1 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-tich-hop-du-lieu-intergration-engineering.35BEEC00.html,Chuyên viên tích hợp dữ liệu (Intergration Engineering),Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Hạn nộp: 30-11-2023,['14-11-2023'],"CNTT - Phần cứng / Mạng, CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,Cạnh tranh,2 - 4 Năm,Nhân viên
